Protein	LB	Root ECM	Root no ECM	Leaves ECM	Leaves no ECM	Xylem Sap
Potri.019G083300.5.p	0	0	1	0	0	0
Potri.005G056800.1.p	0	0	0	0	0	0
Potri.001G367600.2.p	0	0	1	0	0	0
B0CTT0	0	0	1	0	0	0
B0D0M0	0	0	1	0	0	0
B0CYV8	0	0	1	0	0	0
Potri.016G089500.1.p	0	0	1	0	0	0
Potri.010G187800.2.p	0	0	0	0	0	0
Potri.008G055300.2.p	0	0	0	0	0	0
Potri.010G162800.1.p	0	0	1	0	0	0
Potri.002G147000.1.p	0	0	1	0	0	0
Potri.012G111100.3.p	0	0	1	0	0	0
Potri.001G278800.2.p	0	0	0	0	1	0
Potri.010G175000.1.p	0	0	1	1	1	0
Potri.002G216400.1.p	0	0	1	0	0	0
